gene_id,wt_4_0h_rep1,wt_4_0h_rep2,wt_4_0h_rep3,wt_4_12h_rep1,wt_4_12h_rep2,wt_4_12h_rep3,zmice1_1_4_0h_rep1,zmice1_1_4_0h_rep2,zmice1_1_4_0h_rep3,zmice1_1_4_12h_rep1,zmice1_1_4_12h_rep2,zmice1_1_4_12h_rep3
Zm00001eb001060,134,41,51,42,158,38,975,737,378,331,207,232
Zm00001eb001070,413,183,281,173,592,296,760,627,774,376,640,900
Zm00001eb001080,397,77,187,521,587,445,9378,4330,637,4723,3009,2368
Zm00001eb001090,0,0,0,2,4,8,123,29,2,36,12,21
Zm00001eb001110,1354,1143,1246,1036,1599,1627,2006,1524,1654,1093,1423,1422
Zm00001eb001120,462,907,1000,1195,1710,2310,560,434,574,386,411,847
Zm00001eb001150,0,0,0,0,8,0,16,8,0,4,0,11
Zm00001eb001160,325,490,418,204,283,264,416,216,196,98,90,327
Zm00001eb001130,947,748,1121,1526,1942,1633,2166,1431,1439,1189,1282,1789
Zm00001eb001140,1362,1046,987,1963,2162,2061,2181,1491,2026,1751,2217,1955
Zm00001eb001180,6458,5022,5515,6621,9301,9203,10774,5532,7515,6943,7827,10018
Zm00001eb001170,4723,3243,3914,2720,4596,4312,6254,4195,5743,3056,4735,3819
Zm00001eb001220,41,10,0,95,60,91,361,189,205,220,130,294
Zm00001eb001200,4407,4515,4441,5286,5403,7123,6081,4174,4646,3926,4103,4836
Zm00001eb001240,579,300,470,231,432,374,1286,1220,754,543,790,727
Zm00001eb001270,1040,976,1253,1416,1853,1881,1878,1446,1213,1473,1188,1506
Zm00001eb001260,149,74,88,79,222,208,316,249,259,298,454,395
Zm00001eb001280,350,71,177,9,44,66,2598,852,1116,705,689,530
Zm00001eb001310,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb001340,147,81,83,87,124,158,262,362,131,194,132,177
Zm00001eb001290,1744,1255,1772,712,1069,1164,2575,2177,2235,801,964,971
Zm00001eb001350,387,414,385,340,403,381,618,394,622,366,492,370
Zm00001eb001360,906,837,842,592,934,814,1150,858,1016,628,772,622
Zm00001eb001380,0,0,0,0,2,0,1,1,1,0,0,1
Zm00001eb001370,60,48,75,41,68,59,85,72,103,70,68,57
Zm00001eb001390,2388,1312,1777,30864,39817,38552,2728,2223,2076,6843,12144,24228
Zm00001eb001400,2156,2023,1802,2218,3210,3263,2823,2484,2844,2402,3288,3390
Zm00001eb001440,11,3,12,0,14,8,20,0,20,16,0,6
Zm00001eb001460,106,42,44,82,76,104,1015,838,95,279,169,166
Zm00001eb001480,0,4,0,0,0,0,0,0,0,3,0,0
Zm00001eb001470,254,242,277,393,508,433,323,389,406,189,224,387
Zm00001eb001500,182,223,185,32,101,83,103,88,81,27,36,27
Zm00001eb001490,2506,2815,2991,1828,2336,2975,2253,1506,1654,661,998,1142
Zm00001eb001510,70,74,71,50,119,177,160,172,88,33,78,111
Zm00001eb001520,17,15,36,36,53,57,32,47,44,20,17,42
Zm00001eb001430,6282,4342,5151,3956,7341,6305,12155,14682,15373,5668,11134,6387
Zm00001eb001550,233,164,222,84,158,146,307,306,234,232,268,266
Zm00001eb001530,1047,1618,1606,1981,2836,2560,1069,681,915,1070,1431,3103
Zm00001eb001560,401,278,356,486,650,521,760,428,293,444,475,967
Zm00001eb001590,413,319,325,308,795,307,1468,1109,1863,567,1198,555
Zm00001eb001600,516,499,447,403,496,560,537,301,460,176,252,434
Zm00001eb001630,10,0,19,11,0,0,44,21,11,34,68,23
Zm00001eb001570,7863,8600,9128,9209,11360,13851,12749,11835,6553,11299,11868,14007
Zm00001eb001640,2311,1610,1808,3181,4316,3072,3732,2513,2474,1791,2574,3593
Zm00001eb001670,122,151,170,161,222,198,196,163,192,268,346,372
Zm00001eb001650,11843,10463,10213,15586,16835,21169,15520,8520,14378,6727,9150,12713
Zm00001eb001700,203,99,134,106,143,96,287,145,297,72,174,206
Zm00001eb001680,3373,3211,3610,4539,6735,5264,5502,4019,3779,5030,5096,7205
Zm00001eb001710,1192,962,1110,950,1206,812,1914,1504,1429,1025,1126,1091
Zm00001eb001740,3,0,0,0,4,4,58,24,9,21,5,24
Zm00001eb001750,6,6,3,20,28,0,172,41,41,25,26,59
Zm00001eb001730,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb001720,722,172,236,500,593,684,1763,979,964,1373,1205,1357
Zm00001eb001760,190,195,270,448,530,595,1095,567,324,470,368,571
Zm00001eb001770,4032,4845,4359,5844,8967,5904,6420,3842,2836,2532,3308,7078
Zm00001eb001780,1182,576,683,607,930,830,3147,2709,2215,1102,1379,1462
Zm00001eb001790,29,0,0,4,8,7,41,21,46,6,11,5
Zm00001eb001800,26,7,0,17,10,50,69,100,102,32,40,19
Zm00001eb001820,53,11,19,35,43,10,237,69,60,51,182,253
Zm00001eb001810,2315,823,1896,1923,2763,2713,5502,5293,2352,4360,3011,3434
Zm00001eb001850,410,72,37,129,277,102,2645,1529,1227,1115,743,1214
Zm00001eb001830,10,0,4,22,11,4,18,3,10,26,24,23
Zm00001eb001840,17287,16145,16614,25214,26897,23795,27606,19447,16461,16975,20405,24618
Zm00001eb001860,745,430,655,642,994,830,1982,1645,1196,1262,1254,1398
Zm00001eb001870,1098,646,824,767,1492,1039,1316,978,1359,698,1089,1248
Zm00001eb001880,1831,937,1962,2718,2621,2761,4805,4520,1970,3884,3542,3551
Zm00001eb001890,1594,2069,1594,1520,2155,2345,1525,815,1222,945,1170,1681
Zm00001eb001900,518,517,533,645,1007,838,879,1060,683,733,1129,968
Zm00001eb001910,489,403,457,491,794,567,1117,920,965,585,653,917
Zm00001eb001930,4475,3176,2768,3135,3722,4059,8459,6783,7107,2697,3824,4826
Zm00001eb001940,22314,17877,25138,32546,46044,42044,36017,35986,26609,27620,22088,35922
Zm00001eb001970,238,0,0,0,0,0,298,0,0,0,0,0
Zm00001eb001960,238,396,445,682,778,695,298,377,398,177,129,704
Zm00001eb001980,76,81,86,86,165,135,130,107,180,78,156,199
Zm00001eb002000,1149,966,1144,826,1068,965,1555,1522,1471,968,1158,994
Zm00001eb002030,20,7,0,4,10,18,175,56,94,128,68,47
Zm00001eb002020,123,73,184,83,247,89,226,123,167,89,123,233
Zm00001eb002010,19,73,69,68,68,128,126,113,75,131,128,145
Zm00001eb001950,38936,42857,32632,59909,74735,64213,39492,22874,31557,17160,24299,44958
Zm00001eb002050,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb002040,698,508,505,447,909,536,1515,1559,1631,1003,1016,859
Zm00001eb002080,17,18,10,9,13,16,39,22,28,0,9,10
Zm00001eb002070,227,255,253,343,594,294,436,348,406,297,322,530
Zm00001eb002060,4767,2435,2618,2526,5487,3612,7951,6714,8908,5917,8144,6939
Zm00001eb002090,1490,522,496,1336,1065,1612,1615,1341,1875,1040,1027,1667
Zm00001eb002160,595,372,308,504,687,616,644,329,658,261,262,546
Zm00001eb002170,131,110,191,102,147,125,320,331,256,234,213,172
Zm00001eb002100,5409,4807,5163,3407,4560,3531,8638,9440,6652,4248,3510,3895
Zm00001eb002110,21,31,47,45,44,47,57,85,24,17,43,53
Zm00001eb002120,9,13,10,15,12,15,19,32,5,8,10,18
Zm00001eb002130,6,9,11,8,12,12,10,21,6,5,6,10
Zm00001eb002200,117,162,199,417,599,600,357,105,112,316,302,652
Zm00001eb002210,0,0,0,53,111,74,11,4,0,19,26,57
Zm00001eb002220,1488,560,860,434,1170,562,2463,2790,2923,1149,2012,1316
Zm00001eb002230,2,4,5,3,31,0,18,31,11,25,17,8
Zm00001eb002180,4553,3010,3829,6206,8848,7532,14245,9764,9262,9851,7182,5983
Zm00001eb002190,3387,3785,3294,6275,7003,6923,3398,1454,1939,1476,1685,4125
Zm00001eb002240,0,9,6,100,156,110,25,12,0,22,46,38
Zm00001eb002250,2262,2324,2872,4123,5261,3809,2496,1972,1894,1558,1360,2734
Zm00001eb002260,8515,8175,8678,8651,10968,12219,9859,8857,8068,4559,6180,7098
Zm00001eb002340,0,0,1,0,3,0,2,0,0,0,0,0
Zm00001eb002380,238,349,339,224,303,226,451,402,843,91,353,204
Zm00001eb002400,0,0,2,0,0,0,5,7,11,0,32,14
Zm00001eb002390,0,0,0,9,3,6,32,21,9,6,83,37
Zm00001eb002320,2699,1840,2547,3365,5457,3279,5308,4060,4579,3540,4544,6562
Zm00001eb002440,69,37,75,82,133,72,101,84,93,63,50,106
Zm00001eb002450,211,247,238,187,284,308,378,203,254,158,206,253
Zm00001eb002430,2111,1621,1913,1556,2550,2554,3433,3799,2961,2342,2312,2415
Zm00001eb002420,1930,1142,1877,2540,3136,2719,3383,2010,2222,2472,3045,3898
Zm00001eb002470,69,47,43,56,44,35,70,99,91,35,54,41
Zm00001eb002460,863,645,803,554,751,747,1521,1463,1243,838,843,812
Zm00001eb002270,275090,265604,220975,369605,445024,384240,314009,160475,168333,79695,135575,236926
Zm00001eb002490,7786,7715,8375,5849,7570,9387,11360,9147,7219,4524,5625,6061
Zm00001eb002500,2,2,0,0,0,0,4,3,2,0,2,0
Zm00001eb002480,172,67,78,179,275,182,262,177,231,212,205,405
Zm00001eb002520,8,11,4,4,12,0,20,7,24,6,8,31
Zm00001eb002510,19694,20553,18659,19431,25090,21612,28099,16586,16396,4999,10947,17653
Zm00001eb002540,351,429,501,504,644,535,399,382,387,172,240,426
Zm00001eb002530,2441,1810,2447,2283,3601,3435,4225,3192,3195,2712,2990,2959
Zm00001eb002550,682,718,606,619,1038,825,807,620,707,586,735,862
Zm00001eb002560,2288,1892,1980,1715,3223,2567,3217,2950,3389,2105,2791,2421
Zm00001eb002730,27,51,45,133,239,108,24,60,34,0,59,0
Zm00001eb002720,1083,972,843,1152,1278,1528,1382,794,1049,413,501,1075
Zm00001eb002770,10,3,2,2,5,7,13,7,9,1,7,5
Zm00001eb002780,6,0,0,4,10,20,4,4,22,8,12,12
Zm00001eb002760,523,596,969,416,931,1170,407,240,76,376,308,777
Zm00001eb002800,22,16,10,59,37,50,24,10,28,59,30,46
Zm00001eb002740,2861,3058,3320,4127,5457,4760,3839,2615,2608,1805,3232,3585
Zm00001eb002810,724,669,407,554,780,718,972,657,1031,419,652,673
Zm00001eb002830,3,7,8,26,8,23,22,27,0,14,4,10
Zm00001eb002820,1049,591,714,752,1306,991,1192,821,1220,454,743,924
Zm00001eb002840,14,0,0,0,0,8,43,0,0,0,37,25
Zm00001eb002850,146,106,323,1112,1389,1707,1050,757,473,464,617,815
Zm00001eb002880,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb002900,0,0,5,3,6,0,3,10,2,7,0,0
Zm00001eb002870,320,93,126,100,271,109,1035,553,643,331,197,301
Zm00001eb002910,65,17,15,18,21,42,27,65,92,45,53,22
Zm00001eb002930,308,239,261,67,264,94,775,423,744,181,349,291
Zm00001eb002920,157,128,188,83,127,101,411,159,196,156,163,234
Zm00001eb002610,961,999,1073,1269,2033,1738,1716,1325,1309,1749,1506,1989
Zm00001eb002650,32,2,30,1,12,63,5,47,2,0,39,0
Zm00001eb002670,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb002680,1774,2853,3780,6320,5147,4419,4904,3967,4878,6379,3722,4874
Zm00001eb002700,23,18,12,73,217,165,39,25,36,104,130,121
Zm00001eb002570,499,228,378,330,637,469,3622,2688,1784,1226,1254,1181
Zm00001eb002580,836,589,1025,695,784,512,4585,2676,3877,1990,1326,1545
Zm00001eb002590,213,127,160,181,491,339,771,473,668,283,626,451
Zm00001eb002600,8,16,4,85,47,28,49,12,8,32,9,27
Zm00001eb002620,4849,1302,974,526,17592,524,14032,5377,6795,1448,3878,2164
Zm00001eb002630,5,3,0,0,2,1,11,6,4,3,1,5
Zm00001eb002640,473,215,339,219,454,382,663,517,791,546,800,734
Zm00001eb002660,140,131,58,1005,3483,465,467,356,692,676,1539,669
Zm00001eb002690,5275,2934,3246,3950,7206,3954,12541,11738,11892,5276,6899,6541
Zm00001eb002710,16,7,14,85,124,80,50,20,55,74,54,177
Zm00001eb002950,829,486,1437,380,736,970,5100,4062,5293,1549,2368,2711
Zm00001eb002940,714,720,867,668,951,859,1697,1267,1148,733,810,1062
Zm00001eb002980,0,0,0,0,0,40,0,78,9,0,123,0
Zm00001eb002960,7424,4566,5721,5840,7991,9703,15880,16725,13694,14697,17047,15471
Zm00001eb003000,1193,881,1421,1097,1653,1512,2300,2037,1654,2090,1456,1700
Zm00001eb003010,2656,2224,2616,1970,3028,2987,4086,3104,3273,3096,2641,2637
Zm00001eb003020,771,459,551,367,984,412,1178,1431,1357,728,909,703
Zm00001eb003030,6367,7031,6825,5741,7533,8683,6311,2975,4303,2490,3283,4814
Zm00001eb003120,0,0,0,0,0,0,125,56,11,7,0,0
Zm00001eb003110,80,189,187,95,84,88,289,245,208,213,97,135
Zm00001eb003040,525,378,325,308,833,459,936,703,1126,634,974,909
Zm00001eb003050,0,4,0,0,0,0,0,5,0,0,0,0
Zm00001eb003060,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb003090,1,4,9,15,31,6,25,20,19,15,21,11
Zm00001eb003070,477,337,493,394,989,521,945,1062,1413,728,1263,932
Zm00001eb003080,1906,1658,1955,1862,3954,2194,2456,1372,2549,1365,2658,3026
Zm00001eb003150,4,0,0,0,0,0,16,6,5,0,5,11
Zm00001eb003140,7,14,4,0,10,29,11,16,0,28,21,27
Zm00001eb003130,730,555,643,626,1077,922,1562,1132,858,898,815,1013
Zm00001eb003170,388,112,129,40,163,53,718,731,1042,160,278,324
Zm00001eb003180,840,442,584,503,1082,608,1379,794,1651,892,1617,1425
Zm00001eb003200,1060,1231,1025,1079,1389,1283,1386,828,874,235,414,845
Zm00001eb003210,52,73,114,15,18,21,101,95,79,19,18,47
Zm00001eb003230,0,0,0,0,0,0,0,45,147,0,0,0
Zm00001eb003220,32,7,0,0,25,12,262,259,50,114,84,82
Zm00001eb003250,0,0,1,0,0,0,0,4,0,0,0,0
Zm00001eb003240,258,52,21,27,49,35,367,403,318,254,92,175
Zm00001eb003190,3250,3177,3113,4689,6188,8149,6452,4886,4768,4756,4864,5658
Zm00001eb003310,147,61,161,121,185,175,316,325,251,205,218,225
Zm00001eb003320,35,24,38,29,56,39,156,98,155,71,99,66
Zm00001eb003330,19,24,19,4,10,12,30,28,41,13,9,28
Zm00001eb003340,0,8,0,4,0,4,17,14,5,7,11,0
Zm00001eb003400,0,5,0,0,12,0,62,96,66,49,12,0
Zm00001eb003380,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb003430,9,2,3,5,0,0,2,0,5,0,2,6
Zm00001eb003420,334,164,304,249,421,281,630,454,659,423,675,799
Zm00001eb003350,4794,3569,5214,4054,5502,5776,5437,5328,5728,3130,5120,4308
Zm00001eb003360,4828,5294,5828,7419,8834,8792,14408,8669,4639,5678,4822,11241
Zm00001eb003450,50,33,32,40,46,45,187,145,69,25,72,125
Zm00001eb003470,4,0,0,0,0,0,20,7,31,10,0,0
Zm00001eb003460,79,31,56,25,50,12,526,435,475,155,248,128
Zm00001eb003440,20497,8375,11394,13746,22192,19617,80191,43465,44421,28330,30483,44380
Zm00001eb003510,608,426,551,476,992,748,1155,1033,1032,818,1107,992
Zm00001eb003540,1965,970,1276,2133,2501,2714,3559,3354,3320,3355,3246,3651
Zm00001eb003500,0,0,0,0,0,0,3,1,0,0,0,0
Zm00001eb003480,5560,4362,5368,2463,4630,3508,8933,7789,10122,3540,5963,3777
Zm00001eb003490,30349,14387,22241,20114,24896,23488,58090,61071,47617,27129,31964,25159
Zm00001eb003560,0,0,0,0,0,0,0,4,0,0,0,0
Zm00001eb003570,119,68,58,22,82,42,106,116,131,103,117,99
Zm00001eb003550,720,463,546,412,658,725,749,1096,1183,363,831,448
Zm00001eb003600,0,0,0,0,0,0,0,4,0,12,0,4
Zm00001eb003590,0,1,0,0,1,0,0,0,0,0,0,0
Zm00001eb003580,38,50,23,30,88,28,164,163,93,72,124,78
Zm00001eb003660,20,3,9,48,68,54,20,0,12,4,26,66
Zm00001eb003650,254,105,184,160,285,178,662,362,292,406,254,379
Zm00001eb003670,326,293,349,238,253,231,800,715,564,325,358,439
Zm00001eb003690,765,471,492,531,1033,623,1181,1059,1442,729,992,838
Zm00001eb003720,71,108,74,28,171,19,41,143,104,108,83,67
Zm00001eb003700,139,48,75,116,108,106,1431,1699,947,528,802,339
Zm00001eb003750,115,39,23,30,65,44,357,343,413,218,283,136
Zm00001eb003730,45262,33119,32000,34611,43618,31819,96871,65805,83854,51066,41337,58868
Zm00001eb003760,7103,3557,4917,2695,3948,4022,39643,45432,21718,12465,13632,10055
Zm00001eb003790,0,0,0,0,0,0,0,0,0,3,0,0
Zm00001eb003780,5601,6260,4972,8031,10737,7777,7158,4716,4718,2884,3868,6017
Zm00001eb003820,930,1416,1018,1327,1035,1821,1059,224,907,739,655,989
Zm00001eb003810,2191,1677,1929,1884,2665,2428,3765,4484,3410,2003,2685,2489
Zm00001eb003830,6189,4758,7699,3617,7132,5373,10537,11437,10602,8227,8852,6509
Zm00001eb003860,16,13,17,26,8,8,44,42,78,34,21,19
Zm00001eb003840,3712,2728,3379,3135,4135,3869,6755,5709,5157,3539,3954,4026
Zm00001eb003850,126,142,161,70,141,177,124,104,127,166,173,128
Zm00001eb003880,1588,1062,1387,812,1467,1456,1704,1574,1932,1428,1182,1394
Zm00001eb003900,209,141,268,82,115,95,580,381,272,214,156,229
Zm00001eb003890,1007,656,864,601,1601,482,2754,3133,2276,1349,1813,838
Zm00001eb003940,0,0,0,0,3,9,4,0,0,0,4,41
Zm00001eb003950,12,7,14,11,21,14,15,21,2,13,17,0
Zm00001eb003930,320,147,288,137,371,261,589,737,813,402,648,410
Zm00001eb003960,18,8,9,13,34,30,39,149,46,37,36,23
Zm00001eb003970,118,44,89,45,43,26,162,103,110,12,82,103
Zm00001eb003980,0,0,0,6,7,0,0,0,0,0,14,0
Zm00001eb003990,26,36,61,31,13,21,38,20,9,18,17,14
Zm00001eb004010,0,0,0,0,0,0,0,0,0,0,0,0
Zm00001eb004000,32,20,45,86,75,101,100,24,58,66,76,95
Zm00001eb004030,764,652,734,515,1248,724,1396,1579,2186,1024,1915,1162
Zm00001eb004060,221,207,228,130,201,197,315,180,432,757,720,668
Zm00001eb004050,16025,15577,15427,16263,21736,20807,15747,10014,12493,6668,9875,12513
Zm00001eb004090,787,779,739,1139,1723,1183,1910,1037,1348,1462,1412,1995
Zm00001eb004140,92,83,133,47,138,47,341,290,313,156,128,146
Zm00001eb004150,1,0,0,0,4,0,15,2,3,8,6,11
Zm00001eb004160,157,89,153,68,115,107,320,342,433,151,262,227
Zm00001eb004120,2589,1959,2475,2123,3648,2961,4467,4392,3631,2727,3056,3388
Zm00001eb004170,2690,1620,1922,1216,2469,1776,4797,4444,5078,2451,3470,2613
Zm00001eb004180,158,139,233,1573,2303,2380,734,502,425,712,941,1687
Zm00001eb004190,470,333,487,331,606,564,933,498,524,398,336,544
Zm00001eb004200,52,29,38,290,284,308,255,341,70,197,165,370
Zm00001eb004210,5892,3651,3892,3457,5358,3278,8749,6919,8415,2858,4501,4976
Zm00001eb004240,1011,766,865,981,1499,1171,1625,848,1303,487,843,1322
Zm00001eb004250,50,26,65,27,85,22,120,241,147,0,66,36
Zm00001eb004300,0,0,4,9,31,4,0,0,0,2,21,11
Zm00001eb004290,2152,1968,1708,1600,3254,2270,2525,1860,2978,1791,3388,2493
Zm00001eb004310,1182,777,801,949,1607,1078,2111,1452,1962,929,1016,1346
Zm00001eb004370,4455,4434,5089,4265,7589,6511,5738,4401,4371,3012,3922,4442
Zm00001eb004360,2,0,3,2,0,0,13,28,6,6,1,2
Zm00001eb004340,24042,14196,17666,19168,24875,25362,55763,40302,39594,30075,33986,39843
Zm00001eb004320,1406,1409,1437,1518,1906,2045,916,713,759,523,765,960
Zm00001eb004330,14,35,36,83,98,166,26,12,24,77,145,145
Zm00001eb004350,39,30,31,115,156,109,167,71,56,146,214,250
Zm00001eb004390,0,0,411,484,0,0,6251,0,0,0,3388,4438
Zm00001eb004380,2090,596,411,484,1981,1446,1138,6601,6709,2409,0,275
Zm00001eb004400,3463,2398,3156,2168,3789,3238,5667,6091,5138,2546,3645,3515
Zm00001eb004410,7101,7669,6370,14501,14772,16668,12015,6148,6618,5853,5968,14808
Zm00001eb004420,23246,7969,15788,8297,16062,11155,63628,67057,54022,38987,38759,30009
Zm00001eb004470,25,12,0,5,16,15,1735,255,22,522,34,201
Zm00001eb004480,198,177,242,212,309,232,371,240,363,112,191,197
Zm00001eb004430,273,324,354,306,347,407,1070,634,477,246,354,367
Zm00001eb004440,5500,6242,7868,4683,7765,8406,7922,6889,5677,5880,7326,7374
Zm00001eb004490,2095,1999,1604,472,676,465,4015,2031,2321,612,760,1030
Zm00001eb004530,0,0,0,0,0,0,3,0,0,0,0,0
Zm00001eb004520,0,0,0,0,0,0,0,0,0,4,0,0
Zm00001eb004540,85,46,62,50,86,83,111,154,95,34,151,96
Zm00001eb004510,9,14,13,12,16,11,22,34,26,12,4,18
Zm00001eb004500,2266,1964,2672,2026,3024,2877,3571,3787,2885,2865,2444,2383
Zm00001eb004560,194,105,146,114,180,129,301,242,275,90,191,286
Zm00001eb004550,3758,2624,3659,5982,6778,7331,6432,8114,5624,3818,5502,11788
Zm00001eb004580,0,0,0,0,0,0,0,0,0,0,0,5
Zm00001eb004570,398,374,373,357,625,571,511,307,420,256,432,407
